Time,Ax,Ay,Beta,Pitch,Roll,Vx,Zcg_SM,,,,,
0.2,-0.003553297,-0.006881019,0.799011371,-0.003840804,0.006313619,0.974729683,0.251014707,,,,,
0.201,-0.0035583,-0.0067403,0.784668446,-0.003770374,0.006116573,0.974604305,0.251020225,,,,,
0.202,-0.003563658,-0.006599702,0.770610279,-0.003700094,0.005925388,0.974478751,0.25102563,,,,,
0.203,-0.003569345,-0.00645972,0.756836564,-0.003630067,0.005741497,0.974353007,0.251030921,,,,,
0.204,-0.003575318,-0.006320807,0.743345976,-0.00356039,0.005566283,0.974227062,0.251036093,,,,,
0.205,-0.00358152,-0.006183374,0.73013625,-0.003491163,0.005401068,0.974100906,0.251041144,,,,,
0.206,-0.003587883,-0.006047785,0.717204271,-0.003422483,0.005247105,0.973974531,0.251046071,,,,,
0.207,-0.003594333,-0.005914359,0.70454617,-0.003354445,0.005105568,0.973847932,0.25105087,,,,,
0.208,-0.003600788,-0.005783368,0.69215742,-0.003287144,0.004977544,0.973721104,0.251055539,,,,,
0.209,-0.003607166,-0.005655032,0.680032931,-0.003220671,0.004864028,0.973594049,0.251060075,,,,,
0.21,-0.003613389,-0.005529525,0.668167157,-0.003155117,0.004765912,0.973466768,0.251064476,,,,,
0.211,-0.003619382,-0.00540697,0.656554195,-0.003090569,0.004683986,0.973339267,0.251068738,,,,,
0.212,-0.003625076,-0.005287444,0.645187887,-0.003027113,0.004618927,0.973211554,0.25107286,,,,,
0.213,-0.003630415,-0.005170974,0.634061921,-0.002964832,0.004571296,0.973083641,0.25107684,,,,,
0.214,-0.003635353,-0.005057542,0.62316993,-0.002903805,0.004541539,0.972955538,0.251080674,,,,,
0.215,-0.003639859,-0.004947083,0.61250559,-0.002844111,0.00452998,0.97282726,0.251084361,,,,,
0.216,-0.003643912,-0.004839492,0.602062714,-0.002785824,0.004536824,0.972698824,0.251087899,,,,,
0.217,-0.003647508,-0.00473462,0.591835341,-0.002729014,0.004562154,0.972570243,0.251091286,,,,,
0.218,-0.003650656,-0.004632282,0.581817822,-0.002673751,0.00460593,0.972441536,0.25109452,,,,,
0.219,-0.003653374,-0.004532256,0.572004902,-0.0026201,0.004667997,0.972312716,0.251097599,,,,,
0.22,-0.003655693,-0.004434287,0.562391792,-0.002568122,0.004748079,0.972183801,0.251100523,,,,,
0.221,-0.003657653,-0.004338089,0.552974242,-0.002517878,0.00484579,0.972054803,0.251103288,,,,,
0.222,-0.0036593,-0.004243352,0.543748598,-0.002469422,0.004960631,0.971925735,0.251105894,,,,,
0.223,-0.003660686,-0.004149742,0.534711863,-0.002422808,0.005092001,0.971796608,0.25110834,,,,,
0.224,-0.003661863,-0.004056906,0.525861742,-0.002378085,0.005239198,0.971667432,0.251110625,,,,,
0.225,-0.003662886,-0.003964475,0.517196681,-0.002335298,0.00540143,0.971538214,0.251112746,,,,,
0.226,-0.003663806,-0.003872069,0.508715903,-0.002294492,0.005577815,0.971408959,0.251114704,,,,,
0.227,-0.003664674,-0.003779299,0.500419431,-0.002255706,0.005767395,0.971279671,0.251116497,,,,,
0.228,-0.003665533,-0.003685772,0.492308104,-0.002218978,0.00596914,0.971150351,0.251118125,,,,,
0.229,-0.003666421,-0.003591095,0.48438359,-0.00218434,0.006181958,0.971021,0.251119587,,,,,
0.23,-0.00366737,-0.003494878,0.476648382,-0.002151824,0.006404703,0.970891618,0.251120883,,,,,
0.231,-0.003668404,-0.003396738,0.469105795,-0.002121457,0.006636184,0.970762201,0.251122011,,,,,
0.232,-0.003669547,-0.00329628,0.461759953,-0.002093271,0.006875135,0.970632746,0.251122972,,,,,
0.233,-0.00367082,-0.003193087,0.454615806,-0.002067309,0.007120125,0.970503251,0.251123765,,,,,
0.234,-0.003672241,-0.003086735,0.447679189,-0.002043624,0.007369636,0.97037371,0.251124391,,,,,
0.235,-0.003673824,-0.002976816,0.440956824,-0.002022276,0.00762209,0.970244117,0.25112485,,,,,
0.236,-0.003675573,-0.002862924,0.434456297,-0.002003321,0.007875824,0.970114468,0.251125141,,,,,
0.237,-0.003677482,-0.002744654,0.428186049,-0.001986799,0.008129068,0.969984757,0.251125266,,,,,
0.238,-0.003679532,-0.002621629,0.422155377,-0.001972735,0.00838004,0.969854977,0.251125226,,,,,
0.239,-0.003681697,-0.002493525,0.416374369,-0.001961143,0.008626998,0.969725124,0.25112502,,,,,
0.24,-0.00368394,-0.002360079,0.410853807,-0.001952024,0.008868298,0.969595194,0.251124651,,,,,
0.241,-0.003686222,-0.002221099,0.405605029,-0.001945368,0.009102427,0.969465184,0.251124118,,,,,
0.242,-0.0036885,-0.002076465,0.400639783,-0.001941156,0.009328039,0.969335092,0.251123424,,,,,
0.243,-0.003690732,-0.001926123,0.395970085,-0.00193936,0.00954397,0.969204919,0.251122569,,,,,
0.244,-0.003692878,-0.001770086,0.391608067,-0.001939947,0.009749242,0.969074667,0.251121555,,,,,
0.245,-0.003694903,-0.001608423,0.387565851,-0.00194288,0.00994306,0.968944339,0.251120382,,,,,
0.246,-0.003696782,-0.001441252,0.383855423,-0.001948118,0.010124802,0.968813938,0.251119053,,,,,
0.247,-0.003698493,-0.001268732,0.380488536,-0.001955621,0.010293998,0.96868347,0.251117567,,,,,
0.248,-0.003700027,-0.001091063,0.377476617,-0.001965348,0.010450317,0.968552941,0.251115927,,,,,
0.249,-0.003701381,-0.000908499,0.374830688,-0.00197725,0.010593615,0.968422357,0.251114135,,,,,
0.25,-0.003702561,-0.000721359,0.372561252,-0.00199127,0.010723975,0.968291725,0.251112191,,,,,
0.251,-0.003703581,-0.00053001,0.370678151,-0.002007353,0.010841648,0.968161051,0.251110097,,,,,
0.252,-0.003704463,-0.000334837,0.369190471,-0.002025441,0.010946997,0.96803034,0.251107855,,,,,
